Combination,freq,sumoutput,win,wr,avg out,freqnon,winnon,wrnon,sumnon,freqab,winab,wrab,sumab,freqinv,wininv,wrinv,suminv
ACuramCuramKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramCuramKecilNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramCuramSedangYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramCuramSedangNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramCuramBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramCuramBesarNo,6,12.97%,3,50%,2.16%,,,,,,,,,,,,
ACuramJauhKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramJauhKecilNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramJauhSedangYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramJauhSedangNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramJauhBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramJauhBesarNo,1,4.94%,1,100%,4.94%,,,,,,,,,,,,
ACuramTdk JauhKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramTdk JauhKecilNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramTdk JauhSedangYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramTdk JauhSedangNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramTdk JauhBesarYes,1,1.41%,1,100%,1.41%,,,,,,,,,,,,
ACuramTdk JauhBesarNo,1,9.42%,1,100%,9.42%,,,,,,,,,,,,
ACuramnondefKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramnondefKecilNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramnondefSedangYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramnondefSedangNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramnondefBesarYes,3,17.66%,2,67%,5.89%,,,,,,,,,,,,
ACuramnondefBesarNo,1,-3.00%,0,0%,-3.00%,,,,,,,,,,,,
ACuramMendekatiKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramMendekatiKecilNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramMendekatiSedangYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramMendekatiSedangNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ACuramMendekatiBesarYes,1,3.35%,1,100%,3.35%,,,,,,,,,,,,
ACuramMendekatiBesarNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AJauhCuramKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AJauhCuramKecilNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AJauhCuramSedangYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AJauhCuramSedangNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AJauhCuramBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AJauhCuramBesarNo,2,0.18%,1,50%,0.09%,,,,,,,,,,,,
AJauhJauhKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AJauhJauhKecilNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AJauhJauhSedangYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AJauhJauhSedangNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AJauhJauhBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AJauhJauhBesarNo,3,2.80%,2,67%,0.93%,,,,,,,,,,,,
AJauhTdk JauhKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AJauhTdk JauhKecilNo,1,2.81%,1,100%,2.81%,,,,,,,,,,,,
AJauhTdk JauhSedangYes,1,-0.09%,0,0%,-0.09%,,,,,,,,,,,,
AJauhTdk JauhSedangNo,2,5.10%,2,100%,2.55%,,,,,,,,,,,,
AJauhTdk JauhBesarYes,1,-1.00%,0,0%,-1.00%,,,,,,,,,,,,
AJauhTdk JauhBesarNo,3,4.84%,3,100%,1.61%,,,,,,,,,,,,
AJauhnondefKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AJauhnondefKecilNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AJauhnondefSedangYes,1,1.34%,1,100%,1.34%,,,,,,,,,,,,
AJauhnondefSedangNo,3,1.36%,2,67%,0.45%,,,,,,,,,,,,
AJauhnondefBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
