Combination,freq,sumoutput,win,wr,avg out,freqnon,winnon,wrnon,sumnon,freqab,winab,wrab,sumab,freqinv,wininv,wrinv,suminv
ACuramCuramKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramCuramKecilNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramCuramSedangYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramCuramSedangNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramCuramBesarYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramCuramBesarNo,10,19.27%,6,60.00%,1.93%,,,,,,,,,,,,
ACuramJauhKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramJauhKecilNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramJauhSedangYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramJauhSedangNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramJauhBesarYes,1,-1.95%,0,0.00%,-1.95%,,,,,,,,,,,,
ACuramJauhBesarNo,8,6.83%,4,50.00%,0.85%,,,,,,,,,,,,
ACuramTdk JauhKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramTdk JauhKecilNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramTdk JauhSedangYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramTdk JauhSedangNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramTdk JauhBesarYes,1,1.41%,1,100.00%,1.41%,,,,,,,,,,,,
ACuramTdk JauhBesarNo,4,8.13%,2,50.00%,2.03%,,,,,,,,,,,,
ACuramnondefKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramnondefKecilNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramnondefSedangYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramnondefSedangNo,1,-3.00%,0,0.00%,-3.00%,,,,,,,,,,,,
ACuramnondefBesarYes,5,28.98%,4,80.00%,5.80%,,,,,,,,,,,,
ACuramnondefBesarNo,2,1.37%,1,50.00%,0.69%,,,,,,,,,,,,
ACuramMendekatiKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramMendekatiKecilNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramMendekatiSedangYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ACuramMendekatiSedangNo,1,3.29%,1,100.00%,3.29%,,,,,,,,,,,,
ACuramMendekatiBesarYes,2,5.87%,2,100.00%,2.94%,,,,,,,,,,,,
ACuramMendekatiBesarNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhCuramKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhCuramKecilNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhCuramSedangYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhCuramSedangNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhCuramBesarYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhCuramBesarNo,5,-1.52%,2,40.00%,-0.30%,,,,,,,,,,,,
AJauhJauhKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhJauhKecilNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhJauhSedangYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhJauhSedangNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhJauhBesarYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhJauhBesarNo,8,24.17%,7,88.00%,3.02%,,,,,,,,,,,,
AJauhTdk JauhKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhTdk JauhKecilNo,1,2.81%,1,100.00%,2.81%,,,,,,,,,,,,
AJauhTdk JauhSedangYes,1,-0.09%,0,0.00%,-0.09%,,,,,,,,,,,,
AJauhTdk JauhSedangNo,11,3.87%,6,55.00%,0.35%,,,,,,,,,,,,
AJauhTdk JauhBesarYes,2,1.54%,1,50.00%,0.77%,,,,,,,,,,,,
AJauhTdk JauhBesarNo,8,4.23%,5,63.00%,0.53%,,,,,,,,,,,,
AJauhnondefKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhnondefKecilNo,4,3.40%,2,50.00%,0.85%,,,,,,,,,,,,
AJauhnondefSedangYes,2,3.30%,2,100.00%,1.65%,,,,,,,,,,,,
AJauhnondefSedangNo,5,-0.44%,3,60.00%,-0.09%,,,,,,,,,,,,
AJauhnondefBesarYes,2,11.06%,2,100.00%,5.53%,,,,,,,,,,,,
AJauhnondefBesarNo,2,-0.82%,1,50.00%,-0.41%,,,,,,,,,,,,
AJauhMendekatiKecilYes,1,-1.00%,0,0.00%,-1.00%,,,,,,,,,,,,
AJauhMendekatiKecilNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhMendekatiSedangYes,2,5.42%,2,100.00%,2.71%,,,,,,,,,,,,
AJauhMendekatiSedangNo,2,4.65%,2,100.00%,2.33%,,,,,,,,,,,,
AJauhMendekatiBesarYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AJauhMendekatiBesarNo,1,0.50%,1,100.00%,0.50%,,,,,,,,,,,,
ATdk JauhCuramKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ATdk JauhCuramKecilNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ATdk JauhCuramSedangYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ATdk JauhCuramSedangNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ATdk JauhCuramBesarYes,1,-3.00%,0,0.00%,-3.00%,,,,,,,,,,,,
ATdk JauhCuramBesarNo,6,24.10%,6,100.00%,4.02%,,,,,,,,,,,,
ATdk JauhJauhKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ATdk JauhJauhKecilNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ATdk JauhJauhSedangYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ATdk JauhJauhSedangNo,1,0.88%,1,100.00%,0.88%,,,,,,,,,,,,
ATdk JauhJauhBesarYes,1,-3.00%,0,0.00%,-3.00%,,,,,,,,,,,,
ATdk JauhJauhBesarNo,11,8.44%,6,55.00%,0.77%,,,,,,,,,,,,
ATdk JauhTdk JauhKecilYes,1,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ATdk JauhTdk JauhKecilNo,5,4.44%,4,80.00%,0.89%,,,,,,,,,,,,
ATdk JauhTdk JauhSedangYes,6,12.87%,5,83.00%,2.15%,,,,,,,,,,,,
ATdk JauhTdk JauhSedangNo,30,24.87%,18,60.00%,0.83%,,,,,,,,,,,,
ATdk JauhTdk JauhBesarYes,4,6.62%,2,50.00%,1.66%,,,,,,,,,,,,
ATdk JauhTdk JauhBesarNo,10,23.50%,8,80.00%,2.35%,,,,,,,,,,,,
ATdk JauhnondefKecilYes,2,-0.52%,1,50.00%,-0.26%,,,,,,,,,,,,
ATdk JauhnondefKecilNo,13,2.34%,6,46.00%,0.18%,,,,,,,,,,,,
ATdk JauhnondefSedangYes,5,0.72%,2,40.00%,0.14%,,,,,,,,,,,,
ATdk JauhnondefSedangNo,14,10.11%,5,36.00%,0.72%,,,,,,,,,,,,
